,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE
262,1,2,1,0,3,2019,98.6,149692.7
263,1,1,0,0,2,2019,100.0,96366.0
264,1,1,0,0,2,2019,100.0,96366.0
265,1,2,0,0,2,2019,100.0,96366.0
266,1,1,0,0,3,2019,100.0,117624.0
267,1,3,0,0,4,2019,100.0,138861.0
268,0,2,0,0,3,2019,100.0,117624.0
269,1,1,1,0,4,2019,98.6,176589.2
270,1,2,1,0,2,2019,98.6,122796.1
271,1,1,0,0,2,2019,100.0,96366.0
272,1,3,0,0,4,2019,100.0,138861.0
273,1,3,1,0,2,2019,98.6,122796.1
274,0,2,0,0,4,2019,100.0,138861.0
275,0,2,0,0,3,2019,100.0,117624.0
276,1,1,0,0,2,2019,100.0,96366.0
277,1,3,1,0,2,2019,98.6,122796.1
278,1,3,0,0,3,2019,100.0,117624.0
279,1,2,0,0,3,2019,100.0,117624.0
280,1,1,1,0,2,2019,98.6,122796.1
281,1,2,0,0,3,2019,100.0,117624.0
282,1,1,1,0,4,2019,98.6,176589.2
283,1,2,1,0,3,2019,98.6,149692.7
284,0,2,0,0,2,2019,100.0,96366.0
285,1,3,0,0,3,2019,100.0,117624.0
286,1,3,0,0,4,2019,100.0,138861.0
287,1,1,0,0,3,2019,100.0,117624.0
288,1,3,1,0,4,2019,98.6,176589.2
289,0,2,0,0,2,2019,100.0,96366.0
290,1,1,1,0,3,2019,98.6,149692.7
291,0,1,0,0,3,2019,100.0,117624.0
292,1,3,0,0,2,2019,100.0,96366.0
293,0,2,0,0,3,2019,100.0,117624.0
294,1,2,1,0,3,2019,98.6,149692.7
295,1,2,1,0,3,2019,98.6,149692.7
296,0,3,1,0,2,2019,98.6,122796.1
297,1,1,1,0,2,2019,98.6,122796.1
298,1,3,1,0,4,2019,98.6,176589.2
299,1,2,1,0,2,2019,98.6,122796.1
300,1,1,1,0,4,2019,98.6,176589.2
